Otoliths (mmol/mol Ca),pop,Ni,Fe,Cr,Zn,Pb,Cd,Mn,Mg,K,Na,Sr,Ba,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,Fish TL (cm),Fish SL (cm),Oto L (?),Oto Wid (um),Oto We (mg)
1A,AA,0.629198452,1.192143915,0.624422988,0.095955139,0.798413382,0.230454394,0.904415419,2.766289965,2.106128774,178.8544309,44.46283333,5.111249162,1.880339596,1.487759024,1.666349884,0.72291336,0.655823553,0.668155468,0.646551942,0.560887196,0.258387337,0.478095055,0.441319242,0.33631455,0.187706947,0.235614795,0.3137525,0.207694029,0.194898035,0.245558432,0.200084514,0.203885918,0.264509223,0.179778362,0.27925396,0.274620765,0.219193133,0.188957843,0.287867914,0.105335511,0.200893215,0.22091179,0.181401793,0.135756124,0.240432009,0.120097313,0.116096715,0.169856739,0.155021552,0.199760037,0.217449118,0.222896392,0.209785239,0.133896632,0.157039942,0.173267383,0.154448781,0.176847535,0.145728556,0.154635712,0.134201267,0.168152716,0.177086452,0.135464032,0.169041176,0.118349701,0.223852073,0.112726718,0.169248953,0.166986412,0.174687667,0.118917037,0.130023862,0.146328024,0.126413867,46,39,11073.6,6613.4,165.1
2A,AA,0.810635219,1.13724255,0.589674322,0.028133444,0.66959441,0.214843989,0.794789308,1.391029359,1.749739297,140.6305479,44.54719117,4.991641147,1.353819212,1.078150009,1.752683423,0.737163106,0.703186385,0.922939271,0.494508527,0.551527501,0.340818,0.3865884,0.237681248,0.391682439,0.210766704,0.29059941,0.208391214,0.260950622,0.162869121,0.228291318,0.289971785,0.183827317,0.323516003,0.261354409,0.234835353,0.240241076,0.179310424,0.189139853,0.209895382,0.149512849,0.189658291,0.237013738,0.138411439,0.160198226,0.215064467,0.126429872,0.153573853,0.150983136,0.173239671,0.169389317,0.268638153,0.19412515,0.205147356,0.144719258,0.213915631,0.176038787,0.137983276,0.16041093,0.166232374,0.113673401,0.142700159,0.174419566,0.136311689,0.138545766,0.170302943,0.117828773,0.214289797,0.138152686,0.159743937,0.172939292,0.16879346,0.12058588,0.145153715,0.128486788,0.120096614,32,27,11535,6921,160.5
3A,AA,0.844234306,0.986331137,0.598464129,0.003508223,0.624826664,0.221193238,1.158376538,2.783801701,1.858908726,158.5987438,44.67803578,4.887642583,1.856271158,1.518204937,1.095892373,0.795364685,1.045845035,1.108130418,0.146954518,0.583050834,0.186221131,0.513063606,0.359194737,0.139743935,0.427715331,0.223608591,0.395895227,0.140484916,0.276387168,0.226878395,0.207128973,0.245349766,0.191966605,0.255859801,0.169612851,0.275074217,0.169895856,0.25605985,0.241806682,0.207808554,0.219672857,0.172785141,0.262972512,0.187607903,0.178325418,0.174342116,0.118266823,0.186407776,0.142946989,0.212070205,0.213444086,0.224010776,0.155833094,0.214165838,0.166313882,0.161431507,0.151474403,0.179406439,0.17675266,0.131712211,0.164703758,0.187648777,0.129850555,0.14811684,0.200605069,0.108547572,0.246810743,0.165777256,0.144417815,0.169556906,0.203443462,0.160687002,0.114324987,0.16357081,0.106929921,38,32,11224,6459.6,152.5
4A,AA,0.880805551,1.1098047,0.602304688,0.06205284,0.814974289,0.255264956,1.17590832,1.201108459,1.805254806,166.1150069,42.69032074,4.757737551,1.57870465,2.001872927,1.204567889,0.69951946,0.840693652,0.588287607,0.457225163,0.783442736,0.206826349,0.467330217,0.42913059,0.143025277,0.196482183,0.332718788,0.145875805,0.222507784,0.1,0.233744607,0.183893234,0.194430403,0.343080418,0.186795958,0.291599932,0.289801859,0.199256674,0.175004875,0.220311192,0.12728169,0.202787142,0.223061801,0.135583752,0.153841123,0.204032795,0.163547496,0.185104495,0.145425427,0.171697898,0.1874127,0.206853812,0.225414679,0.151742038,0.229106529,0.205895265,0.147991569,0.153336893,0.175522489,0.178843629,0.157596642,0.15838709,0.179388627,0.147914987,0.153454271,0.149125692,0.153943226,0.236959149,0.157789555,0.12212223,0.157088751,0.172299608,0.138670229,0.146269816,0.140829691,0.118418198,37.5,31,12304,7074.8,224.1
5A,AA,0.857970644,1.473461245,0.544704616,0.003846348,0.584106234,0.2789502,0.654371216,2.873871528,1.776719468,156.7300556,35.05122828,4.93904408,1.765113524,1.050402667,1.934238716,0.633562986,0.783804607,0.522493998,0.745439314,0.514481745,0.399987094,0.23095649,0.346834786,0.286472861,0.352545133,0.217181695,0.273235367,0.221417426,0.131687028,0.254464443,0.164305441,0.250296152,0.303227901,0.145835319,0.228643773,0.240496313,0.185132194,0.282346216,0.202535033,0.152553327,0.215771625,0.225285112,0.17271157,0.149571493,0.201470869,0.177202602,0.162706398,0.148027068,0.137258233,0.233116604,0.179376871,0.265412517,0.202135713,0.186356876,0.189975714,0.159651672,0.128180484,0.189353577,0.152275921,0.109163251,0.185982075,0.17018212,0.120358244,0.168550078,0.1,0.194539609,0.228374641,0.173055116,0.130311953,0.18244867,0.159502144,0.128035311,0.114847179,0.148100333,0.10228427,45,39,12150.2,7228.6,205.9
6A,AA,0.697091072,1.259372339,0.55123062,0.069958091,0.660776666,0.25833488,0.745232064,2.401820135,1.571064337,162.1205516,36.31226224,4.809031524,2.275066873,1.222591357,1.644964761,0.7086813,0.434112646,0.615621517,0.442120641,0.585482863,0.202298361,0.526082855,0.417454201,0.338570183,0.31211818,0.248520358,0.307932655,0.213611995,0.219771385,0.232367114,0.208632646,0.189205379,0.288309987,0.155222059,0.294485886,0.262644498,0.16960262,0.215795603,0.205128213,0.152966797,0.194024112,0.224689733,0.178529683,0.128451655,0.246710361,0.132565782,0.121454964,0.148452601,0.147171482,0.205063085,0.221001401,0.229689928,0.178896167,0.233400525,0.136744768,0.179713306,0.114728847,0.179841244,0.221661433,0.195721538,0.146903978,0.196162356,0.152574,0.18105574,0.152216812,0.134006603,0.240825032,0.159282528,0.167198962,0.158349339,0.177742672,0.124929378,0.132624723,0.151014968,0.1238194,48,40,11535,6767.2,155
7A,AA,0.904758457,1.09992018,0.65121753,0.120145521,0.685424661,0.294366575,0.573321564,2.554832708,1.862187529,173.9942362,38.74471728,5.545027562,1.940977425,1.80821375,1.203508084,0.764711771,0.845957519,0.598669271,0.1,0.689947218,0.1,0.367856821,0.308988771,0.18810948,0.309867243,0.184936135,0.316854091,0.171510531,0.298861829,0.151349988,0.322353606,0.197873941,0.191105008,0.231310516,0.127987762,0.31852617,0.124156416,0.218320099,0.180745949,0.173129482,0.304608284,0.195247714,0.231371017,0.175910378,0.170152453,0.1907191,0.157996358,0.143545974,0.170207174,0.235828061,0.241917296,0.166906535,0.175933798,0.226992753,0.170797686,0.147387662,0.149075145,0.174577755,0.165978681,0.150819404,0.192889969,0.119484572,0.139372107,0.164592208,0.17281222,0.157520737,0.245984979,0.156449911,0.133217119,0.18964599,0.14320024,0.137725519,0.115051466,0.166581742,0.119984268,43,37,11996.4,6767.2,151.2
8A,AA,0.987612743,1.71662574,0.710449068,0.081024471,0.639016169,0.308813419,1.24947342,6.34287885,2.015816706,224.0750202,38.28473361,5.337568065,2.224842604,1.208249275,2.012202621,0.869915772,0.602877932,0.82569123,0.81160911,0.711157713,0.274266577,0.654236938,0.373496441,0.328713684,0.145997754,0.257090898,0.346799637,0.256862395,0.194973564,0.178915455,0.156131718,0.448489417,0.181186863,0.102001587,0.331562837,0.1,0.240989571,0.1,0.171129852,0.153638123,0.214624675,0.224005726,0.140120545,0.141332058,0.213914738,0.133538214,0.122143725,0.182097622,0.127154166,0.240975466,0.226749301,0.236084547,0.160899604,0.237581762,0.219782188,0.113378173,0.207590836,0.147326622,0.144782405,0.11046671,0.227406028,0.172743964,0.181296931,0.136176889,0.171826924,0.146459525,0.242456904,0.151453403,0.136916426,0.169173034,0.159104902,0.129859771,0.12422071,0.140827775,0.103319761,39,34,11842.6,6305.8,151.1
9A,AA,0.859570742,1.291750676,0.638797332,0.046348601,0.615804685,0.352336463,0.943597472,3.662202538,1.707758954,193.6994281,40.29665848,4.476841998,2.3418327,1.297811803,1.6598587,0.709355668,0.685403388,0.663016689,0.415095324,0.432470469,0.133613602,0.452000822,0.250581572,0.185624214,0.399342939,0.214234142,0.309698104,0.115706163,0.357624296,0.219479742,0.214958174,0.214401096,0.1486748,0.284531072,0.1,0.302421771,0.14773374,0.226302587,0.1,0.142181245,0.280750533,0.1,0.309979639,0.179465731,0.213773855,0.160403974,0.123669827,0.177103762,0.1492612,0.200436577,0.239142406,0.184581775,0.182881984,0.240416391,0.163490027,0.154131405,0.145443622,0.18728964,0.16351537,0.117073984,0.165880378,0.170746258,0.15554696,0.157912365,0.156565527,0.17353647,0.240927586,0.132874979,0.152091556,0.153225751,0.149007353,0.153734539,0.12875533,0.16685406,0.120034057,38,32,11535,6921,185.7
10A,AA,0.93510308,1.139616704,0.635614824,0.033668402,0.604349131,0.321590452,1.034768712,0.905599666,1.698515412,175.7906608,42.06610722,4.450096774,1.994315856,1.374984456,0.847328143,1.1467367,0.28090913,0.700709197,0.388657585,0.705227607,0.260443938,0.458662742,0.266685929,0.300771984,0.320188134,0.229280145,0.278978447,0.193061587,0.166280395,0.180956386,0.222095996,0.278808336,0.181019851,0.184491609,0.290806917,0.283443399,0.176861662,0.220932003,0.186848835,0.116017638,0.192812538,0.246530933,0.159792407,0.151851447,0.195491044,0.145272348,0.182532443,0.181614169,0.141418271,0.211613481,0.200629556,0.259016739,0.184689783,0.23913575,0.14823518,0.15397427,0.137441245,0.181897507,0.166640924,0.193292562,0.164534894,0.149578456,0.134939108,0.155726256,0.161751301,0.147626894,0.233013081,0.167216746,0.153345183,0.155638232,0.16810854,0.131823835,0.109572408,0.134483526,0.129617715,38,32,12304,7382.4,214.7
11A,AA,0.767497203,1.873835857,0.590624581,0.141060004,0.430361171,0.300249298,1.155060574,3.278930139,1.929969099,154.3689954,44.0486645,5.036080873,1.93934846,1.43112763,1.765832318,0.552659724,0.724484318,0.847186936,0.472816869,0.696538498,0.276001395,0.616051933,0.178870557,0.321746983,0.242448045,0.279319391,0.224725803,0.181290087,0.136980239,0.244757192,0.21514597,0.177855994,0.283416754,0.215881829,0.215578717,0.235895099,0.24729107,0.178702833,0.186534278,0.120462301,0.211041819,0.229944254,0.195808419,0.125533495,0.214820605,0.181494872,0.172414569,0.18096097,0.140575604,0.19548379,0.229918226,0.209600353,0.174892789,0.219706654,0.206243265,0.155446336,0.142036329,0.178194844,0.163588646,0.167400713,0.180574986,0.144208716,0.148898061,0.10471914,0.163361967,0.101328343,0.285795325,0.150963029,0.138747506,0.158171984,0.173996736,0.111042237,0.131451904,0.118431292,0.150686889,41,35,12304,7536.2,235.3
12A,AA,0.998697634,1.090462734,0.656378501,0.03317463,0.585106307,0.375007596,1.024957277,3.776891111,2.08552936,207.5669687,44.62571407,4.787504013,1.14012712,2.27426462,0.1,0.6043755,0.590475167,0.451980208,0.458433475,0.517922595,0.270175998,0.472856184,0.299522596,0.170309355,0.393146349,0.203492404,0.30041917,0.252181427,0.224753726,0.225305639,0.207502302,0.159579605,0.158397238,0.153873649,0.161043669,0.27507586,0.226495759,0.227139226,0.199975567,0.101719223,0.228249807,0.245286938,0.165092828,0.142737134,0.222656908,0.160653622,0.126439446,0.139985989,0.14650331,0.280086208,0.199599381,0.259319766,0.143790591,0.220176357,0.175201028,0.168338425,0.139561989,0.196457408,0.1,0.191617196,0.149491833,0.163600408,0.147055775,0.142241399,0.180101846,0.12787761,0.263238728,0.127148577,0.149431455,0.130286214,0.185188492,0.127818992,0.106323776,0.160516306,0.129136062,43,36,12919.2,7536.2,179.5
13A,AA,0.954497783,3.2736545,0.689187899,0.003967572,0.525238761,0.27767582,0.990227605,2.331673275,1.945051516,141.6500538,47.27052898,5.878197582,1.68610211,1.527287692,1.677250539,0.515561166,0.735710609,0.847436813,0.458260242,0.691228568,0.270151672,0.631154706,0.22011435,0.30140496,0.243833041,0.278807813,0.21457984,0.191551488,0.126013506,0.245812423,0.220121153,0.175778669,0.282140041,0.223463875,0.220291711,0.232965635,0.24591427,0.16100843,0.16671536,0.116766083,0.210106692,0.230425697,0.184648989,0.12403296,0.215591668,0.169335858,0.170836921,0.18455998,0.148100184,0.179428552,0.217478324,0.217299199,0.171265368,0.202974829,0.177825298,0.174681203,0.143796207,0.187798808,0.16584083,0.167431436,0.180419478,0.145532198,0.143199442,0.108009303,0.165086547,0.135743962,0.297891836,0.141226634,0.147250535,0.16609021,0.172610054,0.110659673,0.133511487,0.119595794,0.152700415,43,35,12457.8,7690,197.6
14A,AA,1.092172627,1.025267616,0.671148796,0.059771791,0.512392743,0.333605981,0.930824011,0.504407598,1.705453765,165.8056725,46.6720563,5.011968368,1.786251529,1.851826477,1.400333104,0.463689441,1.059928714,0.70164647,0.495124532,0.508794205,0.262466569,0.467479246,0.521052579,0.345093405,0.299012209,0.32497133,0.361679975,0.242275045,0.230087923,0.217646012,0.212275907,0.19343559,0.318475207,0.159010277,0.287892816,0.152221279,0.228279007,0.189492695,0.222539091,0.118442768,0.248882635,0.168920492,0.187210609,0.135131988,0.243843943,0.175522242,0.13067555,0.170451654,0.149080286,0.195921469,0.200644917,0.218811145,0.197396353,0.2070998,0.166160194,0.169617653,0.139036924,0.153649104,0.172412427,0.131090713,0.156436266,0.221668763,0.111556191,0.181049205,0.143984347,0.137327084,0.2794286,0.138193082,0.117277758,0.164881877,0.177791438,0.135376797,0.132665771,0.154894029,0.117022049,41.5,35,12304,7382.4,172
15A,AA,0.918010116,1.459118748,0.570644832,0.00315803,0.285353472,0.323899299,0.634551743,1.655668758,1.815220212,140.7636725,47.99827328,5.071152771,1.279635124,1.951980792,1.203462616,0.711534805,0.747696541,0.767263036,0.281746246,0.817049431,0.167162555,0.598150084,0.381902719,0.297925095,0.344909188,0.313503752,0.264482395,0.211560229,0.197904988,0.223039494,0.255844317,0.237955895,0.236572454,0.12901741,0.236117678,0.301102419,0.160172716,0.176273141,0.168494907,0.126883945,0.19399064,0.255019294,0.122892527,0.162473173,0.197549657,0.111392611,0.133828517,0.177146493,0.13449731,0.189797912,0.232719669,0.271973725,0.21765495,0.144178168,0.168553962,0.165642379,0.127413678,0.213483139,0.159599175,0.116987463,0.177200677,0.149219275,0.171853125,0.140212595,0.163042198,0.154819255,0.244262643,0.174945855,0.142863629,0.162669209,0.166916005,0.123855571,0.11682145,0.153890278,0.107028869,39,35,12765.4,7382.4,264.2
16A,AA,0.954444806,2.08875018,0.576191067,0.104004827,0.231832194,0.344810664,1.73816652,1.442976495,1.7171901,171.8079542,48.01119337,4.936972185,1.935369583,1.368805756,1.483800711,0.835372088,0.810700577,0.6161718,0.286848582,0.937449131,0.147631259,0.417274254,0.340527203,0.31368932,0.299171409,0.36155279,0.1,0.207238084,0.399940963,0.1,0.223055923,0.193510297,0.234174742,0.241135344,0.114670584,0.345073696,0.1,0.189646487,0.13588029,0.166697711,0.34246152,0.211066213,0.200835046,0.124059873,0.193480857,0.14302154,0.119200302,0.190392963,0.151202982,0.199628436,0.239177714,0.214152598,0.202222566,0.217264587,0.143205081,0.146863143,0.152057726,0.189808273,0.160411277,0.148598014,0.180852851,0.104132677,0.147602123,0.169007786,0.150773916,0.188711493,0.226421602,0.131330107,0.180061952,0.165524407,0.243734176,0.150993039,0.123059344,0.143665092,0.126759366,41,35,13226.8,7074.8,204.1
17A,AA,0.976496281,1.273261076,0.735684349,0.049287786,0.396921032,0.355603083,1.099251566,0.13871872,1.751334167,171.3805154,53.1270624,4.38619788,2.553070385,0.958966442,1.386480943,0.708761846,0.315600649,0.284450214,0.637231788,0.349794766,0.282161245,0.401985638,0.28788313,0.299050314,0.354156901,0.213281406,0.378561979,0.237385194,0.29664314,0.239020893,0.195377728,0.233547946,0.236410626,0.198201501,0.186146393,0.31425919,0.19993816,0.22918956,0.244705355,0.12328599,0.217567231,0.220507278,0.143447337,0.124490205,0.217270801,0.215797521,0.120734575,0.174818611,0.133811043,0.196404935,0.177714044,0.276032493,0.179258275,0.19064303,0.144208431,0.157234315,0.129186305,0.207428029,0.141696732,0.231750958,0.146488203,0.173027247,0.136165345,0.150229618,0.205633354,0.163508663,0.221253382,0.165549453,0.14744715,0.163799376,0.178648353,0.132196703,0.11460648,0.148187719,0.113986849,44,37,13842,7997.6,238.9
18A,AA,1.029063565,3.71132521,0.736246197,0.044967453,0.423879252,0.375932436,0.435045054,8.537226998,1.975302586,205.1329026,45.17552851,4.917619969,1.638775938,1.431714994,1.631564009,0.208797129,0.997931459,0.1,0.896176602,0.1,0.343436618,0.242892294,0.722987923,0.100596182,0.385810476,0.221335884,0.567628708,0.1,0.327772001,0.220455952,0.244119782,0.19881637,0.291643057,0.207202903,0.148503246,0.211063805,0.235877355,0.149547817,0.23094698,0.134935911,0.260833466,0.123856455,0.279578001,0.168558613,0.152748146,0.176200103,0.134959842,0.163854064,0.179069246,0.143219866,0.210037678,0.235057116,0.177392572,0.232833902,0.119054979,0.171529205,0.17453647,0.164349662,0.179468837,0.152356186,0.157243986,0.180278668,0.141156675,0.150012554,0.145089575,0.165614731,0.204967629,0.184181216,0.144367227,0.169551121,0.161622795,0.129981145,0.12309911,0.145102531,0.113103248,40.5,34,12457.8,7228.6,182.9
1L,LL,0.013213143,1.13510138,0.150907485,0.005497195,0.011223735,4.70E-05,0.014903444,0.575513678,1.212442255,6.154139334,1.084942172,0.168901042,1.774272347,1.043401632,2.038997317,0.559755526,0.727826841,0.74950797,0.608436908,0.415334907,0.284715019,0.463634916,0.486450251,0.332137193,0.145640137,0.277208091,0.23947921,0.220301939,0.249796383,0.223503938,0.14712312,0.286660614,0.20376564,0.126296119,0.310703632,0.278893319,0.201085005,0.18646534,0.170511301,0.158003836,0.244425026,0.226457996,0.214299781,0.106546472,0.205864612,0.20742963,0.139232862,0.166929954,0.123383364,0.235917686,0.1,0.242403298,0.233716281,0.136126199,0.179298182,0.124096863,0.14995362,0.191066208,0.188556733,0.184653812,0.13977658,0.16042782,0.154755265,0.176292766,0.136788235,0.138543939,0.217778327,0.165276317,0.137088661,0.195133982,0.163458187,0.121355405,0.106848538,0.121207955,0.1544572,32,28,9997,5844.4,82.8
2L,LL,0.006230741,0.200497672,0.013370851,0.006655859,0.009640543,3.77E-05,0.017809353,0.656275349,0.764177052,4.389600987,0.773787502,0.097341923,2.0495607,1.193661188,2.734638715,0.720818664,0.541434876,1.089365105,0.419651192,0.483005973,0.247818267,0.43233612,0.404497213,0.379303142,0.169972431,0.265483288,0.377988221,0.15679019,0.24759373,0.239281781,0.204585779,0.2754525,0.246203394,0.234730115,0.192898853,0.243479866,0.157196983,0.215193145,0.269817976,0.104489846,0.262574202,0.167882646,0.253663301,0.119724567,0.19248923,0.189730388,0.125523961,0.162928284,0.15762219,0.212736611,0.238232791,0.266608547,0.159133971,0.198376193,0.206660076,0.145955423,0.140757845,0.166911394,0.164356672,0.159300932,0.16693713,0.163637434,0.158892109,0.211125189,0.120665181,0.134248732,0.267991075,0.161774267,0.1,0.170487206,0.192708012,0.1229922,0.130935676,0.135896883,0.131613651,30,26,9228,5383,82.3
3L,LL,0.009191507,0.831796993,0.016565619,0.047905384,0.011190676,0.000616522,0.02357183,4.298316078,1.688990281,4.088586831,1.610844539,0.433433256,1.47345525,0.621695637,1.759968816,0.731627398,0.21608082,0.875494213,0.344928559,0.523323095,0.278178625,0.610433841,0.375410052,0.32375212,0.175116033,0.38697773,0.231253328,0.255642826,0.186728866,0.242625105,0.215285796,0.149045948,0.347155957,0.165238524,0.207699573,0.174981505,0.167815971,0.172804337,0.200997763,0.123456565,0.176270525,0.22519296,0.179880008,0.105847658,0.249586729,0.155102142,0.135387806,0.166017669,0.155646684,0.231368208,0.259668196,0.185388263,0.133771305,0.161201219,0.262321352,0.130141588,0.204637646,0.125021397,0.159652358,0.113196298,0.158282882,0.154703319,0.141468371,0.15056393,0.22681649,0.155072434,0.243070003,0.151657661,0.130636829,0.114484081,0.166999295,0.1,0.1,0.1,0.152483252,27.5,22.5,9381.8,5536.8,75.5
4L,LL,0.009080255,3.646222407,0.017508856,0.001091069,0.008962424,0.000161976,0.010893051,0.80264984,1.081550576,4.656616909,1.590553811,0.42265649,1.517317408,0.875594876,1.776354939,0.525836494,0.5031682,0.77677392,0.538984107,0.35823382,0.320463858,0.502020816,0.337959742,0.308049622,0.217191655,0.350661596,0.284990889,0.189378074,0.25896684,0.206042935,0.224453871,0.256078852,0.206023106,0.183143976,0.300601708,0.272279243,0.145373735,0.168203695,0.179593561,0.207640261,0.196956477,0.222861367,0.177827137,0.160733396,0.179898549,0.184850995,0.139212909,0.168721566,0.153371646,0.234337676,0.271415763,0.277983009,0.1,0.198358146,0.117285555,0.15344785,0.145935758,0.164622754,0.179016204,0.15142381,0.168392462,0.149915196,0.166878413,0.156110662,0.158723505,0.156998547,0.261013858,0.176982222,0.148808912,0.151334027,0.189712103,0.162090657,0.131114856,0.13837457,0.107730811,29.4,24.4,9228,5383,74.4
5L,LL,0.002518542,2.482245061,0.00192497,0.004485839,0.010307385,3.45E-05,0.01700047,0.129103094,0.759034565,4.391261151,0.71402748,0.28812394,2.020921732,0.1,3.235434864,0.482862328,0.27209605,1.009874813,0.703456459,0.15055795,0.278979784,0.446920597,0.272127539,0.442154908,0.116277986,0.358479862,0.440479188,0.124969464,0.323063109,0.207325704,0.193160499,0.156119489,0.261024282,0.228624404,0.241648062,0.182136706,0.197522657,0.135924589,0.179605227,0.126327978,0.244525005,0.169631472,0.259252419,0.152772472,0.166354706,0.181309388,0.12150186,0.155886672,0.138162749,0.230159383,0.213175728,0.268320498,0.240246234,0.175182148,0.120363915,0.181920498,0.166634541,0.130872529,0.216356313,0.113917055,0.210991945,0.1,0.160771331,0.1,0.204488003,0.162595895,0.196240789,0.120688875,0.128606978,0.164411397,0.212484632,0.109619411,0.125504327,0.143667179,0.111291214,29.9,24.2,9381.8,5536.8,80.8
6L,LL,0.003803977,0.527560594,0.008085508,0.002489443,0.009552671,9.97E-05,0.013243961,0.085288038,0.613337821,4.367915392,0.54532704,0.086658447,2.716815929,0.317503968,2.559962718,0.554267359,0.312667715,0.756046803,0.885203966,0.32220103,0.236416477,0.633595858,0.14982512,0.46802573,0.198930392,0.255423518,0.575920771,0.173317511,0.26274892,0.192059872,0.259223433,0.196710951,0.249362497,0.173964131,0.263786333,0.243739425,0.188159381,0.147738634,0.274959527,0.144032512,0.226069276,0.215498743,0.218530808,0.148436966,0.210192261,0.132335235,0.126505036,0.154047016,0.125196343,0.211860119,0.260903903,0.228668145,0.169897254,0.1588196,0.142432976,0.144652693,0.162213343,0.1,0.167810241,0.158833942,0.155975748,0.162069466,0.157874342,0.199997216,0.1004142,0.140920787,0.25817098,0.16632835,0.117388359,0.177337152,0.158966093,0.135097558,0.127094619,0.131590414,0.122551787,28.9,24.5,9228,5383,76.5
7L,LL,0.002814151,0.301859613,0.005173655,0.02635658,0.01005325,0.000139597,0.018623402,5.15551581,1.031134784,3.216289603,0.842869034,0.146786929,1.434957255,1.108807562,2.344382818,0.606244076,0.624578966,0.93803041,0.571449636,0.455454418,0.257267211,0.381084352,0.445744626,0.312201721,0.132536638,0.388869158,0.320412821,0.199595262,0.241447895,0.225113645,0.190151664,0.31731883,0.193886104,0.213671801,0.302245819,0.145747844,0.152085008,0.258511473,0.247168083,0.159975172,0.173965057,0.250675927,0.178838582,0.118151543,0.204631278,0.198708287,0.137134449,0.169637778,0.160650292,0.217982449,0.249062626,0.207618231,0.159074292,0.29801648,0.142545523,0.1,0.140142776,0.158395366,0.125235369,0.104160644,0.195714594,0.159287949,0.164159071,0.140664316,0.132805336,0.203245454,0.185148583,0.18394947,0.16270307,0.150075659,0.204542923,0.145907583,0.101700235,0.135301407,0.130174311,26.2,22.3,8459,5075.4,61.4
8L,LL,0.003997372,0.081178049,0.019322438,0.027012437,0.010662955,4.43E-06,0.012153482,0.408329055,0.862425175,3.993911587,1.021170379,0.17035949,2.011597526,0.39809932,2.976353579,0.501731988,0.492733245,0.69179527,0.83836559,0.227143646,0.2767249,0.49584766,0.268978749,0.269456048,0.222139879,0.317800948,0.520238481,0.161824098,0.318576238,0.215101347,0.1,0.217340061,0.230441873,0.273416271,0.206774383,0.284381693,0.190072083,0.153482931,0.214483504,0.109115201,0.225709152,0.193865311,0.274811128,0.148543372,0.170778573,0.222829069,0.12152523,0.167549134,0.127316323,0.231923802,0.123704542,0.220355888,0.205431676,0.195317395,0.142412366,0.175930128,0.18843751,0.116691436,0.250248478,0.137989957,0.178457015,0.187767957,0.151597101,0.187548637,0.131956978,0.1,0.241378702,0.158450695,0.156395003,0.163895278,0.203183174,0.166934663,0.137289097,0.153409689,0.129659379,27.3,22.7,8920.4,5229.2,64.3
9L,LL,0.007927574,0.12080312,0.027980698,0.003361592,0.01637408,0.000135269,0.019633657,2.120110313,1.438659717,8.887278818,1.129606479,0.178225637,0.1,1.30312584,1.108134964,0.458129027,0.4833616,0.919243947,0.305740529,0.548696888,0.128569382,0.632821957,0.426419871,0.220507796,0.228501644,0.239358504,0.211987154,0.220764426,0.233056898,0.241631459,0.232088758,0.241098913,0.195973646,0.204893829,0.251628835,0.219973437,0.208786326,0.188030338,0.103063794,0.134172679,0.1,0.203341624,0.192620888,0.1,0.212391127,0.169305594,0.135891079,0.151728122,0.151864162,0.233499398,0.21862011,0.21053713,0.203310484,0.203569566,0.185341325,0.167780856,0.138950495,0.221922236,0.192905138,0.165230074,0.142586695,0.170977184,0.168322479,0.122764316,0.170224512,0.15188659,0.243715993,0.184635759,0.117233949,0.147674035,0.206284598,0.117167176,0.133686894,0.126090191,0.150289965,25,20.5,8305.2,5075.4,56.1
10L,LL,0.004798218,0.427560307,0.024131068,0.022815329,0.00848154,0.001018184,0.013179671,3.589127375,0.924781861,4.131901605,0.90128899,0.131814221,1.40393474,0.579026134,1.578828504,0.739202443,0.312997186,0.703647091,0.601819846,0.371096854,0.295017511,0.493279273,0.437992234,0.470067575,0.119071736,0.266162881,0.374433715,0.225901042,0.299522982,0.268339462,0.194062927,0.223219012,0.200972096,0.145448112,0.245894362,0.269125045,0.232624459,0.15706558,0.240422702,0.138589501,0.206494231,0.284546038,0.13323639,0.145687192,0.176325235,0.203729153,0.150182278,0.1,0.179680983,0.122938085,0.220194141,0.187489132,0.196154806,0.224710427,0.139642205,0.175874619,0.128708876,0.184474724,0.220306546,0.172932705,0.1,0.161698487,0.114608942,0.165129416,0.146514576,0.169291536,0.258286121,0.145018191,0.168666089,0.176836822,0.147625451,0.116681492,0.112158352,0.138836752,0.126636792,24.5,20.4,8151.4,4921.6,56.8
11L,LL,0.008475023,1.180320608,0.01109479,0.003016871,0.008283251,0.000636747,0.013179307,1.548435416,0.493755308,3.799003545,0.507386597,0.0739027,1.80594764,1.00419647,1.968901247,0.638928245,0.217697446,0.683074728,0.68415644,0.450578973,0.197154855,0.532427244,0.327962388,0.359204266,0.200323598,0.380978157,0.277310217,0.207898829,0.243719544,0.221177487,0.221814838,0.276648482,0.14043771,0.231058872,0.26282723,0.297492533,0.179658957,0.215058954,0.238949713,0.126895174,0.117391647,0.211218233,0.191455593,0.142566802,0.165584284,0.168941705,0.120024999,0.159432126,0.165829842,0.215370369,0.220518948,0.21100508,0.215811629,0.100916369,0.149415539,0.177878221,0.164263541,0.143940788,0.155689207,0.142617075,0.129544995,0.180325225,0.18490175,0.170908552,0.14168947,0.169567671,0.271771429,0.1,0.192592035,0.165108971,0.152434629,0.118149473,0.124903606,0.129297833,0.125746426,36,30,10458.4,6921,145.6
