Otoliths (mmol/mol Ca),pop,Ni,Fe,Cr,Zn,Pb,Cd,Mn,Mg,K,Na,Sr,Ba,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W60,W61,W62,W63,Fish TL (cm),Fish SL (cm),Oto L (?),Oto Wid (um),Oto We (mg)
5N,NN,0.058528849,0.238615055,0.044595625,0.097189566,0.033849662,0.007894614,0.059924195,15.31178182,0.726326355,7.676723404,1.140903708,0.443914894,1.548806877,1.981873752,2.0194557,0.780901786,0.666198646,0.931916071,0.442219724,0.685119071,0.19702481,0.368925406,0.489988675,0.160828094,0.236151895,0.270737336,0.255580146,0.167964197,0.201041136,0.21688909,0.172627786,0.164969278,0.205417772,0.1,0.29719474,0.19768964,0.202430553,0.216179883,0.177884448,0.185242796,0.209920365,0.185278115,0.216894988,0.130909338,0.199722034,0.160998773,0.139016086,0.173950859,0.13519989,0.205587843,0.168306896,0.30105097,0.185186867,0.165220193,0.205294968,0.157964435,0.12981853,0.218367855,0.144402055,0.193713491,0.168582886,0.164945871,0.145884214,0.143441743,0.164672204,0.183353869,0.215823275,0.159990306,0.139131737,0.137559833,0.159386692,0.124134473,0.128021527,0.127041065,0.138805599,39,34,11073.6,6921,156.6
6N,NN,0.071877534,0.382615039,0.034076969,0.122904017,0.045607966,0.01144652,0.095988413,29.50772529,0.884786349,10.09275967,1.740794688,0.551277117,1.616805599,1.709764398,1.394529975,0.758031222,0.596146303,0.820421614,0.348009112,0.666830772,0.200858066,0.509162544,0.433046894,0.298034019,0.222519561,0.275110173,0.24468998,0.232816029,0.214064157,0.200707183,0.197047667,0.29725535,0.227856709,0.209796175,0.247423635,0.231613398,0.255014886,0.161613066,0.202009611,0.123432918,0.255724764,0.224426991,0.161458086,0.123522359,0.229704205,0.177999241,0.132114375,0.16336959,0.146433924,0.196302772,0.190849547,0.23429786,0.219348888,0.192408852,0.136899963,0.128403758,0.138602624,0.182461621,0.14228112,0.124429446,0.173554414,0.179160235,0.1348568,0.144518841,0.108998911,0.156292592,0.210859221,0.183791953,0.174424174,0.150710215,0.146423653,0.136226475,0.125658028,0.12685504,0.147301879,38,32,11535,7074.8,125.2
7N,NN,0.068283657,0.168489219,0.039544805,0.016521846,0.042974354,0.00899078,0.053920448,1.935736966,0.594533266,8.883224205,1.721043498,0.537372808,0.266353423,0.986935898,2.003890754,0.19714767,1.116742578,0.746994684,0.852417176,0.365918883,0.326346907,0.362236073,0.539488695,0.179714307,0.336037672,0.218189016,0.344604427,0.255964351,0.265555519,0.25655607,0.191602447,0.134734698,0.264680847,0.147203615,0.324283813,0.2485794,0.221631592,0.169452612,0.230078091,0.146952133,0.259541921,0.188668438,0.187896135,0.110556898,0.210760607,0.184910558,0.136281482,0.159476598,0.149710566,0.139957236,0.270132937,0.178110812,0.167823124,0.191229082,0.114523297,0.162104891,0.12596206,0.191547399,0.183133127,0.151255082,0.174014377,0.160796157,0.184821323,0.183216186,0.123020367,0.169463694,0.227003539,0.154615139,0.122776106,0.148224583,0.169759934,0.1247203,0.139633086,0.132154114,0.139271933,36,31,11227.4,6921,152.7
8N,NN,0.072300343,0.260038698,0.019949822,0.041461368,0.050859829,0.011325101,0.077242441,11.63972555,0.67472893,10.86995614,2.194477275,0.726347109,0.255778426,1.121580057,1.948264908,0.1,0.79286133,0.860717488,0.585199548,0.259215108,0.302296082,0.336160445,0.676254789,0.227053735,0.221045851,0.265342421,0.261203734,0.13214259,0.301801099,0.221242808,0.226585465,0.1,0.281767917,0.138002645,0.220902425,0.213892224,0.215634187,0.156294518,0.232548562,0.128754642,0.256905581,0.18554694,0.18389844,0.189212558,0.202798799,0.172520661,0.1,0.192212397,0.137013577,0.186766205,0.197171564,0.230051086,0.249938817,0.202934424,0.163862624,0.158191414,0.148626067,0.191864553,0.146450598,0.161449998,0.15892268,0.164734393,0.111229889,0.174302275,0.183684007,0.138566357,0.257568326,0.131589237,0.169353681,0.172114494,0.167370731,0.121766179,0.128312733,0.147288469,0.1,33,28,10150.8,6459.6,113.3
9N,NN,0.068283657,0.420673302,0.035970134,0.20897216,0.038132681,0.010695928,0.093794392,29.05312448,0.948910238,9.588121689,2.011283856,0.592720365,2.029657945,1.534311091,1.27057853,0.862126404,0.783202438,0.874798809,0.335452999,0.673124773,0.239069034,0.505359083,0.37000057,0.380878404,0.17102812,0.367215114,0.157629417,0.285241082,0.208233504,0.226747567,0.217040264,0.211595987,0.159844477,0.284779037,0.204643399,0.276601212,0.251341757,0.146080197,0.175977425,0.230427962,0.203871839,0.201872737,0.145140762,0.113776099,0.305798423,0.154985398,0.109419608,0.191695269,0.135554041,0.197164715,0.237072988,0.184071355,0.157334639,0.265976343,0.113817116,0.144539861,0.130221998,0.165489,0.179750026,0.153174004,0.152290263,0.175043288,0.141172977,0.168624084,0.13455913,0.232742698,0.1,0.131690351,0.141739961,0.182843979,0.176219406,0.135408959,0.112813918,0.152028137,0.134026249,33,28,10766,7074.8,140.1
10N,NN,0.068283657,0.242651776,0.036612457,0.036008296,0.032036287,0.011587256,0.059272845,6.492784407,0.572750797,9.819108257,2.634092473,0.776851065,1.674897748,1.47840851,0.988383344,0.732633001,0.952849176,0.620994065,0.275473471,0.732713975,0.198766777,0.523035251,0.391812358,0.168971826,0.272500263,0.261656217,0.265699493,0.264394813,0.119990656,0.268460329,0.204450001,0.17575316,0.253173441,0.306631317,0.205161417,0.247763547,0.183361884,0.17443364,0.247468247,0.163278506,0.232540412,0.155618215,0.181178097,0.116655725,0.303101754,0.148067741,0.136222194,0.159192385,0.171832666,0.171629421,0.242740435,0.191053755,0.199782797,0.197929872,0.119382882,0.182616987,0.145615399,0.195107469,0.152349425,0.192422866,0.108388382,0.200823791,0.117907625,0.26132052,0.178849731,0.123902514,0.196762552,0.160515071,0.139735979,0.15368422,0.158362813,0.11905789,0.1135814,0.137594916,0.127288004,32.5,27,10304,6459.6,105.8
11N,NN,0.113806095,0.547797972,0.12461082,0.055161646,0.081239189,0.02376873,0.109426791,6.87067133,0.852506034,15.2393025,6.346521913,2.049714574,1.856724812,0.934356369,1.836162765,0.4790966,0.423783169,1.045104807,0.582635702,0.479986855,0.253319754,0.500356934,0.199389877,0.264999737,0.230972226,0.263678001,0.208183315,0.210068433,0.303182619,0.230038,0.266097527,0.15702237,0.36344335,0.258649123,0.273026263,0.244542726,0.193553986,0.210676013,0.208329744,0.130025675,0.171981544,0.244277573,0.139684883,0.153312917,0.266115307,0.186774461,0.136995057,0.168611249,0.151569881,0.191644669,0.215277578,0.261776865,0.181938166,0.23034659,0.1,0.164316751,0.152489643,0.209488521,0.175365367,0.144286512,0.144274678,0.189970938,0.125068474,0.144680097,0.143824832,0.135739167,0.26201942,0.166486531,0.143488076,0.162360372,0.174320537,0.135293746,0.138936319,0.13873126,0.122877471,21.5,18.8,7690,4460.2,46.2
12N,NN,0.105677088,0.659544657,0.017434504,0.242973915,0.07345607,0.01867543,0.095531326,35.33488112,0.994549696,13.68486459,4.276755307,1.479368882,1.50782308,1.291880908,1.403459249,0.389556748,0.949456463,0.842878973,0.386213521,0.442695633,0.228064224,0.404560269,0.624399055,0.129340068,0.329887591,0.244306298,0.240751233,0.252330014,0.293878977,0.204279888,0.17045742,0.207413871,0.132539237,0.205139463,0.340019268,0.18214615,0.233272614,0.211428927,0.188980936,0.117584041,0.241537055,0.237493189,0.16301833,0.105459575,0.350132982,0.196313581,0.125962917,0.187489744,0.111775095,0.187414903,0.315288642,0.25150759,0.189548219,0.161426912,0.196334851,0.153249988,0.127143471,0.227668908,0.156030461,0.123209786,0.172299107,0.188487224,0.130587757,0.139400662,0.166484727,0.123592781,0.237349171,0.165236659,0.143965093,0.164578318,0.165772238,0.127925766,0.131198927,0.125620902,0.151003872,24,20.8,8459,5075.4,65.5
13N,NN,0.086906473,0.94663143,0.01121147,0.411204994,0.060313943,0.015881833,0.139270462,56.96411139,1.246842492,11.69275402,2.967739682,1.061779919,1.341183996,1.62538268,0.899893585,0.4350826,0.714654309,0.766807793,0.315980771,0.537153349,0.239417828,0.419166758,0.658033592,0.180137185,0.290832088,0.28211816,0.200617631,0.219460794,0.26521608,0.24183515,0.224145492,0.26945398,0.195640195,0.218237133,0.274427237,0.230570269,0.183686127,0.210898204,0.264418772,0.111252985,0.220926474,0.20905966,0.162881696,0.134021876,0.308948623,0.188557227,0.156456892,0.155642251,0.16857454,0.196605203,0.230867572,0.21026714,0.206044536,0.191659699,0.179469504,0.136686242,0.143765598,0.176639655,0.186234157,0.153341403,0.144994621,0.185848417,0.118400695,0.150429816,0.172857635,0.149057107,0.253244918,0.141553732,0.142036,0.163755428,0.17441297,0.138766788,0.122893141,0.136437622,0.131164002,25,21,9228,5229.2,77.9
14N,NN,0.090496413,0.620801195,0.018573219,0.544970474,0.071311509,0.019329991,0.123050207,41.72070301,1.032467409,13.2763455,3.589818191,1.253169197,0.69273497,1.151606084,1.343472211,0.112463379,1.506528665,0.761434838,0.532750889,0.241161347,0.278955349,0.306617274,0.761505226,0.125559294,0.391062912,0.166078723,0.323078811,0.161403035,0.275866042,0.252901687,0.210660152,0.164462355,0.320448483,0.144591033,0.244440734,0.291147797,0.214938278,0.17588157,0.228180074,0.144902653,0.2308146,0.188172667,0.219612245,0.164664172,0.159316301,0.152233229,0.128970253,0.12229526,0.145757324,0.210075362,0.289247418,0.1,0.219199156,0.202110892,0.144639835,0.168735077,0.116261954,0.208129292,0.164069281,0.157452864,0.177146682,0.181547028,0.161468052,0.139421135,0.107814708,0.155845661,0.276191966,0.139348181,0.138858384,0.179410547,0.145798436,0.132768713,0.128083592,0.136524326,0.132017598,23,20.5,8459,4921.6,61.2
15N,NN,0.125186705,3.111564244,0.041108724,0.09908666,0.232595536,0.058530497,0.370835237,63.21017623,5.143225281,13.98122472,2.407866602,0.898634949,1.764363129,1.233734081,1.394664014,0.352616575,0.642964477,0.740278799,0.703828284,0.44914683,0.201190485,0.506254027,0.477647416,0.277418787,0.378284397,0.282503049,0.356551641,0.203289648,0.284152004,0.175191185,0.204801032,0.16212616,0.168322345,0.22810011,0.226265982,0.249485602,0.240270206,0.16577794,0.225411762,0.154839541,0.252157998,0.138427151,0.291082124,0.146466262,0.136409573,0.1,0.121379104,0.157603409,0.131937715,0.185593081,0.184604542,0.230894696,0.144106313,0.202246277,0.145483947,0.151269937,0.1,0.207192186,0.138933696,0.169028115,0.115477202,0.2129097,0.123044542,0.172112252,0.151846294,0.145117723,0.262657727,0.154087214,0.150167849,0.156972784,0.165073094,0.139828704,0.160754912,0.102520794,0.146632705,23.5,20,9997,5844.4,91.8
16N,NN,0.098631949,1.627446376,0.017128635,0.762728926,0.074361798,0.019807275,0.170219453,73.28716085,2.435080695,12.79191023,3.268427021,1.041232953,1.834307635,1.288937002,1.338784134,0.621991221,0.746133125,0.75396638,0.305387195,0.666732524,0.244882613,0.363716021,0.427383492,0.250797264,0.365687946,0.211142617,0.309835348,0.270053591,0.203933679,0.197145862,0.273157156,0.317254414,0.1830151,0.224490874,0.279548886,0.345895108,0.154583277,0.229585794,0.219981654,0.1431021,0.155374506,0.231083508,0.118466099,0.122022498,0.290154509,0.170700555,0.146934578,0.179188726,0.1,0.175794265,0.280717026,0.167550928,0.17735115,0.208783345,0.13901995,0.156414897,0.165665878,0.148427175,0.152033425,0.1984368,0.146896991,0.175021614,0.146547157,0.176146661,0.181455503,0.116353887,0.268939187,0.132783065,0.15175509,0.178829168,0.17848646,0.136815932,0.121245266,0.139230823,0.123434835,29.5,25.5,8305,4921.6,58.5
17N,NN,0.063731413,0.347337404,0.029289966,0.119721201,0.050419878,0.011884365,0.058360955,18.68822602,0.830979829,10.86072693,1.894884669,0.636024389,2.288398013,1.165771436,1.849539059,0.579572524,0.701248744,0.704597825,0.462753818,0.523411694,0.252526515,0.51682001,0.406023135,0.091913622,0.212125587,0.261611242,0.31571337,0.256043154,0.227441681,0.209106202,0.230177107,0.193538757,0.28230073,0.183384847,0.275331598,0.195276424,0.245388338,0.127174895,0.258222484,0.127864636,0.224055216,0.180403019,0.227263509,0.127730688,0.240279222,0.153198708,0.135723853,0.157854719,0.163291776,0.213526586,0.208886892,0.199058134,0.199886906,0.207546257,0.158526262,0.15911324,0.164353161,0.158720388,0.148000663,0.159342987,0.147196512,0.18900159,0.123723133,0.208858569,0.153040465,0.144180228,0.236894888,0.168051549,0.128728423,0.145891827,0.183755256,0.128811253,0.120507289,0.13049231,0.135932175,31,27,9997,6305.8,96.5
18N,NN,0.065032054,1.2360482,0.034869007,0.461139682,0.047343473,0.010186598,0.166745587,34.54966154,2.294175986,9.430395012,1.36503313,0.556865299,2.122010884,1.140514545,2.070124756,0.53906741,0.518050886,0.88613821,0.361154658,0.437223623,0.250935731,0.561143344,0.358689399,0.213659283,0.181167291,0.313249616,0.356978217,0.209973444,0.226789416,0.197965917,0.242595913,0.191612472,0.244653057,0.201887151,0.279340132,0.114082971,0.260443992,0.178481795,0.241648589,0.131467382,0.22263983,0.178171386,0.237058434,0.138122916,0.220763967,0.165320023,0.137255107,0.167807939,0.157628638,0.203791168,0.227157277,0.23758648,0.182580201,0.128205806,0.168485765,0.175710997,0.163798826,0.149953484,0.192029561,0.177636876,0.134651924,0.204435963,0.13321928,0.164773402,0.162926773,0.159447338,0.251923657,0.148332493,0.136836017,0.161669981,0.194011558,0.117723827,0.12011952,0.137726443,0.125267534,36,30.5,11073.6,6613.4,122.5
