NMDS_x,NMDS_y,Site,Data
120.40515650038927,-0.6935951094011265,A,c) Combined Data
84.02663467517263,-5.010224959080913,A,c) Combined Data
101.45579616439956,-4.772994360399785,A,c) Combined Data
108.01381190710809,-1.7322289223913154,A,c) Combined Data
97.73108776943718,3.5415654647093695,A,c) Combined Data
103.17886677605894,4.031682252017696,A,c) Combined Data
114.7537053520176,3.033407367299467,A,c) Combined Data
164.21366149600226,8.422812657279,A,c) Combined Data
133.69691503440487,4.199970595467278,A,c) Combined Data
117.05079809796669,0.7866276674846625,A,c) Combined Data
97.47075029853471,-1.6529056755494997,A,c) Combined Data
147.50756909738558,3.3675627985219205,A,c) Combined Data
85.31583361841722,-7.4936673046758875,A,c) Combined Data
108.52157672958056,-4.908607889275784,A,c) Combined Data
84.81856357807187,-9.439849553527516,A,c) Combined Data
114.27861096232948,-4.705791998576262,A,c) Combined Data
115.24381985675106,-9.292048719210177,A,c) Combined Data
144.86048359213,7.955872034680826,A,c) Combined Data
-57.122725211734654,-15.451558456497445,L,c) Combined Data
-58.964627760967325,-15.554358238492108,L,c) Combined Data
-59.020323183730234,-12.215840856478934,L,c) Combined Data
-57.7294496656113,-16.131374334235485,L,c) Combined Data
-58.95284865480932,-16.492933553014165,L,c) Combined Data
-59.09862271298675,-16.058109657108435,L,c) Combined Data
-59.8840782451601,-11.73233489100768,L,c) Combined Data
-59.20044135524689,-15.718706912318206,L,c) Combined Data
-54.68232356013774,-13.976693419740064,L,c) Combined Data
-59.13084795337849,-13.121338689613676,L,c) Combined Data
-59.16166110625282,-14.80857858710746,L,c) Combined Data
-59.55592374216539,-14.313280261850872,L,c) Combined Data
-59.29500407121562,-11.449899548859808,L,c) Combined Data
-59.82774235003867,-5.988824118436698,L,c) Combined Data
-59.692417756821285,-13.72214347913643,L,c) Combined Data
-59.3964482999721,-9.725520263194394,L,c) Combined Data
-59.869849172164585,-4.611127914282715,L,c) Combined Data
-60.39488498648163,-5.818064957421648,L,c) Combined Data
-55.81914759899044,34.68065939729881,N,c) Combined Data
-54.525606246763594,-2.299933780356915,N,c) Combined Data
-54.990960047108246,18.244303531822236,N,c) Combined Data
-56.12668477956891,11.328785464330016,N,c) Combined Data
-56.549387279805245,-1.943739780898638,N,c) Combined Data
-55.2744844233798,11.57214299112556,N,c) Combined Data
-54.49192710211727,-13.847145675014588,N,c) Combined Data
-53.18331699926521,-5.000260376840594,N,c) Combined Data
-55.71772204192803,11.385175441526071,N,c) Combined Data
-53.8393547224345,-9.808492407158946,N,c) Combined Data
-47.719792133492504,-9.13311727898479,N,c) Combined Data
-52.03567014732642,17.62497104450021,N,c) Combined Data
-56.244703539142584,38.37113105503761,N,c) Combined Data
-53.058021018065375,23.774835617633933,N,c) Combined Data
-54.67619122420637,44.52834249261993,N,c) Combined Data
-56.871073503309916,53.70816471164118,N,c) Combined Data
-54.1860900906299,1.6380072340570457,N,c) Combined Data
-56.2532888197482,16.42927211108545,N,c) Combined Data
