NMDS_x,NMDS_y,Site,Data
-120.27281903677941,0.3391279319362584,A,a) Chemistry Data
-84.01442669584303,5.326118660738557,A,a) Chemistry Data
-101.36527333545888,4.71907859081765,A,a) Chemistry Data
-108.0725275300659,1.6613698092741906,A,a) Chemistry Data
-97.73379591000418,-4.367685125507074,A,a) Chemistry Data
-103.12654867046,-3.974396868262954,A,a) Chemistry Data
-114.5501768512487,-3.3202349963825437,A,a) Chemistry Data
-163.76717777114249,-8.232804132570976,A,a) Chemistry Data
-133.855415392791,-4.047530812954427,A,a) Chemistry Data
-116.99429682007994,-0.7366065412849238,A,a) Chemistry Data
-97.45188265565427,2.911736353453801,A,a) Chemistry Data
-147.55935500401847,-3.5572040376768044,A,a) Chemistry Data
-85.25074972606944,6.879906916768251,A,a) Chemistry Data
-108.65767092711589,4.970445080448065,A,a) Chemistry Data
-84.76735501426128,8.726879070274297,A,a) Chemistry Data
-114.57504595746163,4.913008287459171,A,a) Chemistry Data
-115.05601454324162,9.655110375537369,A,a) Chemistry Data
-144.98122446392415,-7.870812412744389,A,a) Chemistry Data
57.02675351362323,15.695436130570176,L,a) Chemistry Data
58.99284693130002,15.667434041263386,L,a) Chemistry Data
59.13532598633527,12.42413294621195,L,a) Chemistry Data
57.94358943164699,16.237270112324673,L,a) Chemistry Data
58.745451788273535,16.63241208446944,L,a) Chemistry Data
59.01427740195545,16.31353346958697,L,a) Chemistry Data
59.96811724460193,11.77344907119056,L,a) Chemistry Data
59.169547361907384,15.86435927614325,L,a) Chemistry Data
54.649694224160946,14.236172602224121,L,a) Chemistry Data
59.178845602351394,13.059179690678981,L,a) Chemistry Data
59.29018676336361,15.010509412061658,L,a) Chemistry Data
59.66216233087416,14.502105231835214,L,a) Chemistry Data
59.359040108559654,11.553932140296153,L,a) Chemistry Data
59.85788989431722,5.8108220179334245,L,a) Chemistry Data
59.762625953643926,13.903859820305463,L,a) Chemistry Data
59.458481363543996,9.934761988964905,L,a) Chemistry Data
59.97224060408375,4.6324095794501865,L,a) Chemistry Data
60.36521620466163,5.554797117728575,L,a) Chemistry Data
55.7924817047113,-34.799115463508684,N,a) Chemistry Data
54.421006861979464,2.248011490989246,N,a) Chemistry Data
54.918325805861265,-18.321330360571434,N,a) Chemistry Data
56.12545334076771,-11.39680253517294,N,a) Chemistry Data
56.586032367419044,1.8760961347133918,N,a) Chemistry Data
55.26544268169336,-11.823068067703565,N,a) Chemistry Data
54.51794758787825,14.1207988299983,N,a) Chemistry Data
53.21752555026306,5.016693775394113,N,a) Chemistry Data
55.6935458524297,-11.405176736127888,N,a) Chemistry Data
53.80522488145677,9.874187131674352,N,a) Chemistry Data
47.6388048756324,9.086219984914509,N,a) Chemistry Data
51.889869519473834,-17.783112230761606,N,a) Chemistry Data
56.08769219007628,-38.42255602366307,N,a) Chemistry Data
53.0553423300868,-23.836153647854086,N,a) Chemistry Data
54.54129511469924,-44.783011246175676,N,a) Chemistry Data
56.61961534877644,-53.97462541392513,N,a) Chemistry Data
54.03210737823179,-1.7215402391451358,N,a) Chemistry Data
56.291750204978946,-16.757598265637093,N,a) Chemistry Data
